pair_id,fold,dice_a,dice_b,dice_mean,iou_mean,dice_pmax,hd95_a,hd95_b,hd95_mean,dice_oracle,dice_copy
A11_H1__t2_t3,2,0.8128654970760234,0.8262108262108262,0.8208092485549133,0.696078431372549,0.8123249299719888,2.995352392457285,2.0,2.23606797749979,0.8262108262108262,0.4408602150537634
A11_H3__t1_t2,2,0.8822575413558222,0.8159660897209466,0.8517006802721089,0.7417061611374408,0.8850574712643678,4.123105625617661,12.109756343784568,6.082762530298219,0.8822575413558222,0.4803194523673702
A11_H5__t1_t2,2,0.8478328656064859,0.8377880184331797,0.8411791943201111,0.7258923814597762,0.8189732812969078,13.083893698463447,12.051957427492866,12.36931687685298,0.8478328656064859,0.82052067381317
A12_H10__t1_t2,2,0.9060402684563759,0.898360655737705,0.9057851239669421,0.8277945619335347,0.9043760129659644,1.4142135623730951,1.7949747468305783,1.4142135623730951,0.9060402684563759,0.5952712100139083
A12_H5__t1_t2,2,0.9438266324493869,0.9493597206053551,0.9516129032258065,0.9076923076923077,0.9440045248868778,2.23606797749979,2.888477631085018,2.0,0.9493597206053551,0.5892597968069666
A12_H5__t2_t3,2,0.9336478914774403,0.9149354295339697,0.9404744578663949,0.8876373626373626,0.9167830215023737,5.735198189901193,12.668534668792985,5.385164807134504,0.9336478914774403,0.5105885789396816
A12_H9__t1_t2,2,0.4222668004012036,0.7102526002971769,0.6528803545051699,0.48464912280701755,0.5953565505804311,28.74258092433685,17.72004514666935,21.05696085338633,0.7102526002971769,0.0343815513626834
A12_H9__t2_t3,2,0.5966587112171837,0.366693354683747,0.41578947368421054,0.26245847176079734,0.39906832298136646,10.797498558504786,23.653693312335644,21.5115098283839,0.5966587112171837,0.1247600767754318
A15_H5__t1_t2,2,0.6603053435114504,0.4112478031634446,0.4670967741935484,0.3047138047138047,0.657554488363502,23.345235059857504,39.96472719036982,35.802140519059755,0.6603053435114504,0.6999027237354085
A15_H5__t2_t3,2,0.6165615141955836,0.7241726618705036,0.692599479360357,0.5297531004664922,0.731734917603791,41.99880918618153,38.600518131237564,40.52159917870962,0.7241726618705036,0.292183500689112
A16_H4__t1_t2,2,0.7358902400997818,0.8452146514375738,0.8347031963470319,0.7163009404388715,0.7341614906832298,25.974009593965558,7.0710678118654755,11.257834914721291,0.8452146514375738,0.6736120630568883
A16_H4__t2_t3,2,0.683927504481179,0.8177152632579358,0.7346131011280428,0.5805442602439788,0.7863216935046137,15.392922165295051,7.492618484691099,12.303772417240829,0.8177152632579358,0.4540642722117202
A17_H3__t1_t2,2,0.10793650793650794,0.0,0.052205220522052204,0.026802218114602587,0.045454545454545456,43.76058741509056,61.39794917804194,51.886523968859876,0.10793650793650794,0.0
A17_H3__t2_t3,2,0.19313304721030042,0.06588579795021962,0.13921113689095127,0.07481296758104738,0.05603985056039851,233.2340190102948,67.7231374578345,60.207972893961475,0.19313304721030042,0.0
A17_H4__t1_t2,2,0.8716099249855741,0.8890005022601708,0.8932857142857142,0.8071511552859171,0.9245708814880668,5.868723490163233,10.63014581273465,7.280109889280518,0.8890005022601708,0.7074911713877827
A17_H4__t2_t3,2,0.9165516375956833,0.9346363751745145,0.9289769143433834,0.8673733804475854,0.9225447807288449,7.0710678118654755,5.761312836704136,6.324555320336759,0.9346363751745145,0.3352363553322676
A17_H8__t1_t2,2,0.9663101069679096,0.9573900148294612,0.9635225126726965,0.9296125815113156,0.9533294278461238,3.0,2.8284271247461903,2.0,0.9663101069679096,0.3524970337611908
A19_H1__t1_t2,2,0.6679280983916746,0.5340022296544036,0.5889306824288018,0.4173648134044174,0.6613657623947614,15.556349186104045,20.12461179749811,18.384776310850235,0.6679280983916746,0.8122575640031032
